episode,step,x,z,evaded
2,97,113.8351,39.83367,False
2,98,169.2211,56.28724,False
2,99,238.3214,76.14309,False
2,100,291.8899,92.10955,False
2,101,340.4632,106.4474,False
2,102,389.0537,120.1733,False
2,103,431.4082,132.3185,False
2,104,537.4088,164.5078,False
2,105,590.9401,181.3706,False
2,106,620.8065,233.789,True
2,106,630.361,188.745,True
2,106,584.0336,221.6699,False
2,107,607.6671,266.1843,False
2,108,630.5532,315.1131,True
2,108,661.3402,281.6881,True
2,108,587.0001,303.8667,False
2,109,604.7487,351.5895,False
2,110,621.5146,399.9597,False
2,111,675.8674,424.4063,True
2,111,637.5463,448.2426,True
2,111,592.6208,458.1956,True
2,111,660.2923,382.4303,True
2,111,558.0891,368.7619,False
2,112,583.678,321.5115,False
2,113,622.4081,333.3454,True
2,113,622.2903,226.46,True
2,113,640.5747,270.0936,True
2,113,531.059,259.677,False
2,114,513.6548,212.8487,False
2,115,495.9445,165.4841,False
2,116,481.4669,126.4445,False
2,117,456.7578,59.30195,False
2,118,437.4669,6.273529,False
2,119,419.8803,-43.90944,False
2,120,396.5154,-113.1848,False
2,121,380.9278,-160.4058,False
2,122,366.4685,-206.2415,False
2,123,351.7322,-254.9719,False
2,124,343.1675,-300.2559,False
2,125,354.4106,-357.939,False
3,0,-200.9812,-97.1292,False
3,1,-163.4337,-127.7389,False
3,2,-161.1899,-164.4376,False
3,3,-150.5643,-238.2287,False
3,4,-97.61107,-272.4058,False
3,5,-51.90152,-302.5309,False
3,6,-13.27064,-328.1842,False
3,7,44.35587,-367.1366,False
3,8,85.90239,-396.0333,False
3,9,132.3222,-428.0265,False
3,10,212.2568,-482.1524,False
3,11,276.8232,-527.2335,False
4,0,28.89782,254.9271,False
4,1,54.17968,212.4833,False
4,2,78.09669,164.3214,False
4,3,67.7015,113.4411,False
4,4,20.64895,80.91119,False
4,5,-22.33962,54.02188,False
4,6,-44.73311,2.317065,False
4,7,-62.25391,-52.32506,False
4,8,-107.7489,-80.04848,False
4,9,-154.7926,-111.7242,False
4,10,-200.1207,-140.8057,False
4,11,-245.5223,-168.7746,False
4,12,-287.6878,-194.6556,False
4,13,-345.1655,-230.0902,False
4,14,-386.9417,-254.8283,False
4,15,-434.874,-282.1442,False
4,16,-471.6804,-337.3206,False
4,17,-491.1178,-385.751,True
4,17,-488.0419,-367.6411,True
4,17,-426.0837,-342.6671,False
4,18,-441.4615,-386.4531,True
4,18,-403.6859,-381.9185,False
4,19,-452.0666,-406.6294,False
4,20,-484.3064,-426.8453,False
4,21,-540.7397,-460.6591,True
4,21,-511.0354,-492.2208,False
4,22,-489.7289,-526.9948,False
4,23,-535.9254,-559.41,True
4,23,-494.9777,-580.4559,True
4,23,-451.5896,-575.8271,False
4,24,-468.2572,-614.4864,True
4,24,-503.1326,-577.0696,True
4,24,-422.1524,-597.1987,True
4,24,-401.0038,-566.2442,False
4,25,-319.2406,-600.1526,True
4,25,-373.0789,-614.5356,True
4,25,-327.6403,-559.6928,False
4,26,-290.4647,-598.2359,True
4,26,-293.5095,-552.744,False
4,27,-245.423,-519.9919,False
4,28,-202.3864,-486.1999,False
4,29,-127.0642,-429.8334,False
4,30,-68.98746,-387.2994,False
4,31,-29.97187,-358.7452,False
4,32,10.83385,-329.1658,False
4,33,68.70653,-289.3668,False
4,34,113.1108,-260.1231,False
4,35,162.8927,-227.5388,False
4,36,210.5205,-198.3272,False
4,37,255.1468,-171.7162,False
4,38,301.1273,-143.994,False
4,39,346.0671,-117.3158,False
4,40,393.3203,-90.39395,False
4,41,452.1543,-56.50844,False
4,42,501.8168,-28.01391,False
4,43,550.5311,-1.031002,False
4,44,599.5693,25.45856,False
4,45,571.4018,70.55548,False
4,46,584.7949,115.1701,False
4,47,609.6539,213.9045,False
4,48,626.78,277.2704,False
4,49,640.8672,328.6398,True
4,49,710.8528,324.3628,True
4,49,653.0863,333.8107,True
4,49,711.9037,273.8446,True
4,49,609.2664,308.93,False
4,50,651.9155,329.9908,True
4,50,620.6688,366.1324,False
4,51,637.1331,422.3842,True
4,51,654.3669,336.4081,True
4,51,653.7104,407.2696,True
4,51,604.3151,313.857,False
4,52,654.9387,310.995,True
4,52,622.7841,278.1743,True
4,52,513.4656,342.7947,False
4,53,532.8095,304.1577,False
4,54,553.5864,335.583,False
4,55,586.6754,400.1105,False
4,56,615.2789,454.3524,True
4,56,569.1918,459.7596,True
4,56,640.1586,409.1558,True
4,56,619.6505,369.2201,True
4,56,527.6652,423.142,False
4,57,579.5734,449.5875,True
4,57,546.4237,461.339,True
4,57,504.6539,455.1781,True
4,57,487.1259,416.9785,False
4,58,521.3517,445.3156,True
4,58,449.7375,350.6189,False
4,59,415.0073,306.4113,False
4,60,385.8351,269.036,False
4,61,355.4119,230.0558,False
4,62,309.1861,172.5375,False
4,63,274.2292,132.7308,False
4,64,236.5317,89.63963,False
4,65,198.0986,47.17593,False
4,66,159.2254,6.250423,False
4,67,120.5103,-34.41626,False
4,68,80.22192,-75.79109,False
4,69,43.59669,-112.7485,False
4,70,8.166189,-149.6989,False
4,71,-43.04073,-201.0936,False
4,72,-84.63425,-241.045,False
4,73,-123.4439,-278.5186,False
4,74,-164.2002,-316.9155,False
4,75,-202.4552,-353.2842,False
4,76,-247.442,-395.4976,False
4,77,-290.686,-434.6545,False
4,78,-334.569,-473.1412,False
4,79,-374.4797,-506.7448,False
4,80,-416.6992,-541.1844,False
4,81,-459.5728,-576.4094,True
4,81,-479.8383,-538.1188,False
4,82,-530.5148,-566.8657,True
4,82,-484.3195,-583.9816,True
4,82,-531.8295,-522.2483,True
4,82,-499.1573,-489.8719,False
4,83,-553.1334,-520.1553,True
4,83,-542.8885,-469.5318,False
4,84,-598.8769,-495.769,False
4,85,-569.0737,-543.6287,False
4,86,-620.2486,-569.2816,True
4,86,-569.4202,-585.5911,True
4,86,-526.736,-570.5406,False
4,87,-569.1467,-609.9668,True
4,87,-511.7094,-601.7171,True
4,87,-467.6839,-587.5029,True
4,87,-460.9557,-544.1065,False
4,88,-459.2487,-588.4287,True
4,88,-420.109,-577.1622,False
4,89,-465.3694,-613.7222,True
4,89,-421.5026,-624.4796,True
4,89,-372.0273,-540.5907,False
4,90,-316.2205,-524.7491,False
4,91,-242.7814,-505.8885,False
4,92,-182.8258,-491.7201,False
4,93,-126.5652,-479.8871,False
4,94,-68.90512,-467.2356,False
4,95,-10.04504,-454.2013,False
4,96,41.01316,-443.062,False
4,97,95.82284,-431.0208,False
4,98,151.5559,-418.2742,False
4,99,227.2905,-401.0858,False
4,100,286.2597,-387.0865,False
5,0,141.4034,-11.64467,False
5,1,84.3661,-27.23343,False
5,2,64.18314,-80.86092,False
5,3,41.82238,-137.2925,False
5,4,0.3542319,-151.1032,False
5,5,-52.26376,-175.1535,False
5,6,-100.2756,-272.5933,False
5,7,-123.4883,-334.5461,False
5,8,-143.6752,-387.1075,False
5,9,-163.8193,-440.2593,False
5,10,-215.3959,-469.5159,False
5,11,-265.54,-493.3878,False
5,12,-313.9947,-516.2891,False
5,13,-378.9533,-547.082,True
5,13,-347.3351,-573.6183,True
5,13,-361.4351,-503.0257,True
5,13,-285.2103,-568.5951,False
5,14,-382.147,-638.5288,True
5,14,-290.2515,-636.1174,True
5,14,-333.8838,-646.803,True
5,14,-289.4711,-591.3309,False
5,15,-281.686,-640.6334,True
5,15,-241.5151,-626.2483,True
5,15,-239.7533,-581.7242,False
5,16,-231.4317,-628.9144,True
5,16,-173.1717,-582.71,False
5,17,-189.4302,-641.0681,True
5,17,-150.521,-618.9122,True
5,17,-140.382,-574.2272,False
5,18,-98.67068,-619.6917,True
5,18,-144.7817,-629.0826,True
5,18,-84.96249,-572.5801,False
5,19,-28.94748,-554.3427,False
5,20,32.22406,-528.1068,False
5,21,89.40152,-503.9996,False
5,22,143.4718,-481.1224,False
5,23,195.7416,-459.5548,False
5,24,245.2276,-439.4655,False
6,0,76.98042,152.8234,False
6,1,86.62863,103.3862,False
6,2,89.16113,46.39764,False
6,3,91.71121,-10.55961,False
6,4,95.14734,-80.73116,False
6,5,36.09202,-84.07705,False
6,6,-25.44494,-95.37993,False
6,7,-83.70818,-107.0112,False
6,8,-114.5158,-151.9054,False
6,9,-150.6922,-201.9429,False
6,10,-184.6231,-248.3003,False
6,11,-218.3135,-294.0677,False
6,12,-274.4262,-305.5959,False
6,13,-330.8491,-317.4157,False
6,14,-390.0853,-330.2444,False
6,15,-446.6687,-342.0112,False
6,16,-503.4699,-353.1573,True
6,16,-481.6501,-390.055,True
6,16,-428.3792,-386.7317,True
6,16,-488.8022,-297.6628,False
6,17,-529.7159,-309.5385,False
6,18,-608.6658,-326.4557,True
6,18,-577.9911,-355.8436,True
6,18,-503.3144,-320.5281,False
6,19,-521.0137,-359.4817,True
6,19,-483.2232,-372.9189,True
6,19,-453.9077,-338.2861,False
6,20,-476.4324,-379.2893,True
6,20,-437.8852,-396.0216,True
6,20,-407.143,-371.9412,False
6,21,-437.3487,-412.5064,True
6,21,-371.4834,-375.1904,True
6,21,-334.28,-358.9934,False
6,22,-366.0783,-401.9174,False
6,23,-419.7583,-418.2457,False
6,24,-474.329,-435.9867,True
6,24,-439.5853,-469.3687,False
6,25,-416.9516,-520.3231,False
6,26,-472.4176,-537.3321,True
6,26,-436.7955,-599.8389,True
6,26,-399.2638,-577.0062,False
6,27,-433.2806,-604.4421,True
6,27,-410.5316,-637.0543,True
6,27,-376.7527,-604.1604,True
6,27,-351.3244,-556.0089,False
6,28,-303.1354,-546.1537,False
6,29,-230.4015,-532.2074,False
6,30,-170.7081,-522.0027,False
6,31,-113.4894,-513.8926,False
6,32,-55.2608,-504.3784,False
6,33,7.551514,-493.2732,False
6,34,81.66199,-480.0569,False
6,35,141.1854,-470.0077,False
6,36,199.6999,-461.2892,False
6,37,256.7391,-452.679,False
7,0,-166.7882,-171.0441,False
7,1,-203.4341,-217.8167,False
7,2,-253.7815,-214.3253,False
7,3,-298.4786,-217.4062,False
7,4,-298.4135,-267.5161,False
7,5,-255.7472,-314.9297,False
7,6,-290.6178,-352.0208,False
7,7,-352.1508,-356.2974,False
7,8,-418.0235,-357.7941,False
7,9,-479.058,-360.4035,True
7,9,-448.9946,-390.1887,True
7,9,-407.498,-413.4041,True
7,9,-449.5139,-310.6275,False
7,10,-509.8853,-312.8158,False
7,11,-566.0057,-316.2827,False
7,12,-564.5219,-369.5196,True
7,12,-597.2282,-337.7728,True
7,12,-618.9119,-299.0418,True
7,12,-582.6727,-267.8573,True
7,12,-554.9373,-237.072,False
7,13,-612.233,-243.9795,True
7,13,-587.7052,-210.5521,True
7,13,-549.4557,-186.1404,False
7,14,-606.3344,-196.4609,True
7,14,-579.9272,-164.3047,False
7,15,-643.0138,-168.311,True
7,15,-602.2751,-104.9798,False
7,16,-623.7129,-51.7692,True
7,16,-638.7917,-136.7056,True
7,16,-650.4669,-93.20493,True
7,16,-566.0989,-75.04869,False
7,17,-520.718,-89.90488,False
7,18,-465.889,-109.2036,False
7,19,-413.6132,-128.8914,False
7,20,-361.3051,-149.5768,False
7,21,-301.5149,-138.0771,False
7,22,-199.243,-120.1226,False
7,23,-128.7001,-115.4842,False
7,24,-70.01127,-111.6173,False
7,25,-15.0278,-109.3254,False
7,26,39.9034,-107.4936,False
7,27,99.3314,-105.7088,False
7,28,153.1129,-104.6117,False
7,29,230.525,-104.5481,False
7,30,287.6031,-103.7635,False
7,31,347.1025,-102.7889,False
7,32,408.3958,-101.7988,False
7,33,466.7971,-99.86185,False
7,34,525.4829,-97.16632,False
7,35,579.4276,-93.89571,True
7,35,564.9145,-55.53667,False
7,36,627.239,26.87835,True
7,36,659.6767,-10.69589,True
7,36,588.0961,24.30348,False
7,37,579.1,80.1233,False
7,38,569.8795,139.2731,False
7,39,598.0539,192.5536,True
7,39,553.9001,203.2924,False
7,40,589.3449,251.6292,False
7,41,619.6849,298.4118,True
7,41,568.8663,292.0595,False
7,42,589.6265,344.5782,False
7,43,614.952,399.2765,True
7,43,565.7689,395.7223,True
7,43,627.1371,355.6569,True
7,43,631.3804,311.1127,True
7,43,514.8303,309.5502,False
7,44,501.8342,361.3795,True
7,44,469.1862,336.7787,False
7,45,508.3577,360.9553,False
7,46,552.457,404.5287,True
7,46,519.8539,425.9418,False
7,47,563.3581,467.8803,True
7,47,520.1352,482.4634,False
7,48,528.5229,542.4336,True
7,48,563.9406,510.3561,True
7,48,581.8495,464.9625,False
7,49,581.9219,507.3115,True
7,49,620.5709,486.8617,True
7,49,558.9006,392.216,False
7,50,516.9392,349.221,False
7,51,475.5936,307.8097,False
7,52,438.1982,270.246,False
7,53,395.8504,228.6183,False
7,54,392.3949,172.4302,False
7,55,353.0961,129.5713,False
7,56,313.3986,86.65478,False
7,57,273.0291,44.17199,False
7,58,235.9772,7.281385,False
7,59,197.2323,-30.63769,False
7,60,156.0796,-70.5523,False
7,61,112.4169,-110.6742,False
7,62,58.08794,-158.9418,False
7,63,12.38242,-199.5454,False
7,64,-30.38186,-236.807,False
7,65,-74.04934,-273.484,False
7,66,-118.3502,-309.3401,False
7,67,-162.3903,-344.9083,False
7,68,-206.8853,-380.4766,False
7,69,-252.1239,-415.5722,False
7,70,-311.8677,-460.0643,False
7,71,-361.9126,-495.0661,True
7,71,-366.8334,-449.6543,True
7,71,-318.9569,-505.7998,False
7,72,-347.2728,-495.4167,False
7,73,-407.2098,-499.0617,False
7,74,-466.7307,-503.8149,True
7,74,-450.6019,-535.9568,False
7,75,-490.9445,-575.339,True
7,75,-511.7519,-536.2413,True
7,75,-479.4874,-492.6891,False
7,76,-522.126,-519.7666,True
7,76,-543.7028,-475.9292,True
7,76,-504.2025,-445.6533,False
7,77,-552.7557,-465.0699,False
7,78,-599.8854,-494.4529,True
7,78,-529.6896,-519.245,False
7,79,-580.6023,-533.957,False
7,80,-636.1871,-555.7543,True
7,80,-560.346,-593.3774,False
7,81,-609.7836,-598.5839,True
7,81,-615.6959,-672.59,True
7,81,-568.7493,-671.0068,True
7,81,-531.191,-653.1592,True
7,81,-534.8068,-595.6629,False
7,82,-528.6252,-645.7977,True
7,82,-505.5515,-618.1701,True
7,82,-481.9802,-585.1935,False
7,83,-426.1848,-583.213,False
7,84,-373.923,-582.6677,False
7,85,-296.232,-585.2534,False
7,86,-265.5984,-556.0421,False
7,87,-205.8946,-505.0431,False
7,88,-161.3065,-468.1617,False
7,89,-115.5798,-432.2409,False
7,90,-70.33562,-397.7863,False
7,91,-25.36408,-364.0829,False
7,92,21.17196,-331.3682,False
7,93,80.37446,-291.5392,False
7,94,130.0262,-259.887,False
7,95,178.9563,-229.0093,False
7,96,228.3895,-197.8966,False
7,97,276.3722,-168.4768,False
7,98,323.5311,-140.6868,False
7,99,374.0804,-112.1043,False
7,100,480.4058,-66.98212,False
7,101,535.3728,-49.43705,False
7,102,581.5555,-35.18234,False
7,103,633.4319,-19.49251,True
7,103,613.4344,14.88662,True
7,103,561.9253,14.48119,False
7,104,584.1196,58.57763,False
7,105,604.617,110.0923,False
7,106,631.1796,179.8951,True
7,106,561.7805,139.3752,False
7,107,572.2544,172.8075,False
7,108,586.1802,223.3648,False
7,109,599.3702,272.1082,False
7,110,613.8459,323.6742,False
7,111,626.1793,366.6208,False
7,112,666.2021,397.0085,True
7,112,639.3287,424.1045,True
7,112,602.4622,401.0996,True
7,112,682.5452,329.1651,True
7,112,574.6024,365.6263,False
7,113,587.5674,407.3888,True
7,113,552.1275,401.8875,False
7,114,571.873,455.2812,True
7,114,603.581,412.8638,True
7,114,518.2034,435.0831,True
7,114,500.7624,390.8675,False
7,115,518.4456,432.6848,True
7,115,474.1204,434.9803,False
7,116,490.7832,467.3257,False
7,117,518.7295,545.579,False
7,118,570.7941,521.3531,False
7,119,574.8006,573.4614,False
7,120,623.8625,553.3741,True
7,120,574.3662,637.9412,True
7,120,605.2394,597.8009,True
7,120,525.4349,602.8792,True
7,120,502.6067,559.5828,False
7,121,519.5017,606.4247,True
7,121,479.692,586.4841,True
7,121,504.8794,486.9134,False
7,122,488.3398,430.9125,False
7,123,464.5363,352.6795,False
7,124,445.7021,290.485,False
7,125,426.3199,227.599,False
7,126,406.5481,169.6449,False
7,127,388.2571,114.1226,False
7,128,370.8813,55.81966,False
7,129,349.1763,-21.76767,False
7,130,330.8947,-86.59002,False
7,131,312.1245,-151.2909,False
7,132,299.6555,-195.9734,False
7,133,277.107,-279.4482,False
7,134,262.6006,-334.4751,False
7,135,245.8923,-399.5566,False
7,136,230.5621,-461.8561,False
8,0,50.41007,134.7792,False
8,1,80.59391,93.81421,False
8,2,119.6114,28.3857,False
8,3,164.8744,26.88843,False
8,4,197.8504,-19.58904,False
8,5,234.1382,-79.35798,False
8,6,267.1754,-130.3284,False
8,7,296.633,-174.57,False
8,8,353.4788,-191.5048,False
8,9,408.4425,-208.7416,False
8,10,438.9014,-259.7541,False
9,0,95.28241,-55.20009,False
9,1,111.6882,-2.782044,False
9,2,124.0413,54.46366,False
9,3,169.1558,89.01369,False
9,4,190.1131,195.2514,False
9,5,239.0938,224.1152,False
9,6,259.8059,307.8592,False
9,7,309.0261,330.575,False
9,8,321.6721,370.9851,False
9,9,371.4403,407.5033,False
9,10,395.1479,460.8382,True
9,10,430.1239,434.201,True
9,10,349.0383,463.6432,False
9,11,363.6031,502.8952,True
9,11,407.3572,478.5205,True
9,11,319.9418,503.0445,False
9,12,332.6388,543.7875,False
9,13,352.5819,621.3071,True
9,13,383.6336,586.0832,True
9,13,312.7034,603.3281,False
9,14,323.9671,650.2421,True
9,14,279.1191,643.2265,True
9,14,362.4557,628.8596,True
9,14,252.2279,598.8475,False
9,15,265.4979,651.5387,True
9,15,234.8867,627.9001,True
9,15,206.5543,597.1853,False
9,16,226.8099,648.6556,True
9,16,192.716,628.1707,True
9,16,160.2501,597.9919,False
9,17,187.0877,648.106,True
9,17,176.0617,639.196,True
9,17,131.074,627.1232,True
9,17,134.8562,548.0234,False
9,18,88.94829,515.0363,False
9,19,25.12612,471.4443,False
9,20,17.76955,426.0103,False
9,21,6.709152,374.2988,False
9,22,-9.76673,298.9626,False
9,23,-21.2382,242.0484,False
9,24,-31.20764,185.5013,False
9,25,-41.04663,128.0447,False
9,26,-50.77335,70.9763,False
9,27,-59.99795,16.4616,False
9,28,-81.11912,-81.85275,False
9,29,-97.51826,-152.4242,False
9,30,-109.6841,-209.9345,False
9,31,-120.6444,-265.9119,False
9,32,-134.4619,-334.2209,False
9,33,-147.4016,-392.5959,False
9,34,-161.7662,-449.476,False
9,35,-211.8245,-476.7856,False
9,36,-261.6769,-507.9192,False
9,37,-312.0047,-537.1136,False
9,38,-363.1857,-563.4211,False
9,39,-414.1705,-589.0181,False
9,40,-461.6187,-612.9299,True
9,40,-396.4969,-640.6549,True
9,40,-464.4576,-595.5317,True
9,40,-360.9536,-607.5629,True
9,40,-448.5682,-535.9959,True
9,41,-376.6365,-530.0292,False
9,42,-408.5109,-579.3582,True
9,42,-417.2657,-531.6124,False
9,43,-473.022,-545.7734,True
9,43,-457.4818,-585.1221,True
9,43,-440.616,-465.9214,False
9,44,-500.054,-478.3713,False
9,45,-553.6627,-492.6016,True
9,45,-528.6922,-533.4496,True
9,45,-541.1552,-449.0837,False
9,46,-599.6442,-466.0846,True
9,46,-562.8267,-491.737,True
9,46,-581.0919,-413.812,False
9,47,-600.8585,-443.3736,True
9,47,-556.983,-461.2766,True
9,47,-621.6732,-401.2877,True
9,47,-601.3773,-361.2663,True
9,47,-557.6727,-337.305,False
9,48,-523.9392,-318.1831,False
9,49,-493.8267,-344.8243,False
9,50,-438.9554,-360.489,False
9,51,-395.0272,-414.2754,False
9,52,-359.7726,-466.2663,False
9,53,-316.2995,-435.2912,False
9,54,-271.87,-405.0973,False
9,55,-224.9936,-372.6969,False
9,56,-178.2671,-339.9784,False
9,57,-116.6589,-297.2315,False
9,58,-66.8973,-262.9746,False
9,59,-19.18737,-231.245,False
9,60,26.01982,-200.5591,False
9,61,77.15607,-165.1133,False
9,62,119.9855,-135.5009,False
9,63,180.3601,-95.40403,False
9,64,229.379,-62.94538,False
