episode,step,x,z,evaded
1,0,201.0867,-106.7615,False
1,1,219.98,-125.1133,False
1,2,224.4702,-149.6469,False
1,3,211.2052,-152.6966,False
1,4,184.0551,-160.9473,False
1,5,170.4414,-170.9267,False
1,6,115.8119,-211.1918,False
1,7,100.5483,-222.5661,False
1,8,78.16016,-239.234,False
1,9,63.33031,-250.1143,False
1,10,46.42374,-255.3938,False
1,11,32.31538,-258.8562,False
1,12,8.966168,-264.6264,False
1,13,-14.27569,-270.3666,False
1,14,-29.43271,-273.9465,False
1,15,-49.15836,-283.2246,False
1,16,-73.02161,-298.776,False
1,17,-93.02502,-311.9688,False
1,18,-109.7697,-323.2471,False
1,19,-131.0855,-337.9646,False
1,20,-146.5198,-352.5544,False
1,21,-162.8718,-368.5342,False
1,22,-210.3214,-415.2869,False
1,23,-228.9012,-433.8491,False
1,24,-242.8723,-440.6608,False
1,25,-265.3672,-452.2381,False
1,26,-281.543,-460.6873,False
1,27,-306.2737,-481.6738,False
1,28,-313.8961,-499.9577,False
1,29,-314.0847,-519.3296,False
1,30,-314.0317,-538.8241,False
1,31,-314.1017,-562.981,False
1,32,-314.5529,-594.2151,True
1,32,-310.8302,-594.0997,False
1,33,-307.3918,-612.2586,True
1,33,-310.3428,-621.7117,True
1,33,-315.9108,-605.7451,False
1,34,-316.6449,-618.9573,True
1,34,-325.8951,-614.4065,True
1,34,-318.7662,-615.3981,True
1,34,-330.6115,-608.4047,False
1,35,-348.4827,-614.7308,False
1,36,-371.3016,-622.7266,True
1,36,-365.5865,-613.3419,True
1,36,-346.33,-631.8461,True
1,36,-348.5919,-628.0529,True
1,36,-347.7443,-601.3551,True
1,37,-300.4861,-618.8458,False
1,38,-338.9947,-578.9539,True
1,38,-390.1106,-571.7831,False
1,39,-405.9225,-576.6606,True
1,39,-406.9854,-572.9495,True
1,39,-404.4687,-567.5423,False
1,40,-423.3823,-570.3677,True
1,40,-421.9967,-553.0838,True
1,40,-433.5484,-549.548,False
1,41,-455.9278,-559.8672,True
1,41,-451.5754,-550.572,True
1,41,-464.5729,-547.714,False
1,42,-514.4718,-584.4687,False
1,43,-520.0342,-604.4191,True
1,43,-521.9737,-595.1849,True
1,43,-530.8245,-596.4132,True
1,43,-531.5074,-592.5131,True
1,43,-533.3508,-586.0845,True
1,44,-480.1188,-506.997,False
1,45,-465.9591,-523.0588,False
1,46,-449.5995,-531.4927,False
1,47,-431.3531,-534.6476,False
1,48,-413.7407,-537.6584,False
1,49,-386.8379,-542.0527,False
1,50,-371.3326,-539.1495,False
1,51,-346.1322,-533.6713,False
1,52,-331.9004,-530.6365,False
1,53,-260.8618,-515.3374,False
1,54,-234.9901,-509.7882,False
1,55,-217.723,-506.0851,False
1,56,-151.5042,-491.9825,False
1,57,-128.1981,-486.8477,False
1,58,-111.9254,-483.2813,False
1,59,-84.03771,-477.1426,False
1,60,-63.29378,-472.7174,False
1,61,-46.03333,-469.2483,False
1,62,-21.61231,-464.3349,False
1,63,2.862631,-459.2096,False
1,64,21.21596,-455.0765,False
