episode,step,x,z,evaded
1,0,-139.6396,-8.175883,False
1,1,-152.2036,-25.37089,False
1,2,-151.8468,-49.14316,False
1,3,-146.4653,-61.10561,False
1,4,-130.6976,-80.45492,False
1,5,-105.3493,-100.1965,False
1,6,-89.65014,-112.3595,False
1,7,-66.44028,-130.284,False
1,8,-53.01469,-148.3788,False
1,9,-47.9197,-168.1369,False
1,10,-37.15107,-189.5393,False
1,11,-33.41172,-201.0554,False
1,12,-26.46915,-222.2781,False
1,13,-13.02959,-239.0337,False
1,14,10.79352,-256.5346,False
1,15,27.03627,-268.496,False
1,16,50.9578,-286.1369,False
1,17,61.43602,-294.0421,False
1,18,79.72732,-314.2279,False
1,19,90.72889,-331.2942,False
1,20,110.1097,-360.8219,False
1,21,121.4361,-377.783,False
1,22,140.0234,-405.4907,False
1,23,149.2902,-419.7137,False
1,24,167.7208,-447.5467,False
1,25,180.1264,-465.5003,False
1,26,197.3942,-490.1484,False
1,27,212.7379,-503.0551,False
1,28,225.1246,-511.4189,False
1,29,251.1386,-529.5479,False
1,30,264.3524,-539.0948,False
1,31,291.777,-559.0698,False
1,32,303.2771,-567.7494,False
1,33,324.1487,-578.1864,False
2,0,-35.09742,76.62543,False
2,1,-26.50433,96.76527,False
2,2,-12.31539,113.8804,False
2,3,6.237346,125.0767,False
2,4,33.99109,121.6404,False
2,5,38.72704,117.6428,False
2,6,54.80595,100.2619,False
2,7,72.7698,70.77829,False
2,8,85.35741,50.36437,False
2,9,101.9776,23.7934,False
2,10,113.6837,5.250335,False
2,11,132.2235,-23.90997,False
2,12,143.4927,-41.70581,False
2,13,162.7469,-70.99014,False
2,14,174.4717,-88.41226,False
2,15,192.5543,-105.5132,False
2,16,208.2597,-123.2544,False
2,17,225.962,-139.3394,False
2,18,240.6247,-158.3707,False
2,19,247.5211,-164.3271,False
2,20,262.3877,-180.43,False
2,21,275.7356,-196.2542,False
2,22,294.106,-216.0889,False
2,23,310.8942,-234.6861,False
2,24,327.1922,-252.3604,False
2,25,346.2119,-280.3961,False
2,26,359.1988,-298.8029,False
2,27,368.1194,-319.8546,False
2,28,376.8615,-351.2612,False
2,29,381.181,-367.2532,False
2,30,386.5502,-387.3688,False
2,31,394.8351,-417.6493,False
3,0,127.7337,43.51057,False
3,1,140.5853,33.50451,False
3,2,158.6334,13.41339,False
3,3,170.1256,0.4088461,False
3,4,188.2554,-12.75266,False
3,5,208.099,-14.98844,False
3,6,224.2811,-6.704973,False
3,7,240.1674,15.49624,False
3,8,269.682,66.534,False
3,9,287.6395,98.46849,False
3,10,297.416,116.1471,False
3,11,309.8538,139.0251,False
3,12,319.7048,156.8305,False
3,13,334.7319,184.0428,False
3,14,344.4733,201.3646,False
3,15,356.0056,221.4951,False
3,16,371.2248,247.7013,False
3,17,380.973,264.6193,False
3,18,391.7388,283.5332,False
3,19,402.5836,302.2107,False
3,20,412.1461,318.3156,False
3,21,426.9808,342.6017,False
3,22,443.0089,359.7428,False
3,23,455.2076,374.957,True
3,23,461.6732,374.3062,False
3,24,472.6488,392.9563,False
3,25,487.3172,411.9397,True
3,25,483.436,412.1825,True
3,25,480.7766,415.8703,True
3,25,490.4689,414.4536,True
3,25,479.2313,418.5042,True
3,26,463.5878,370.5898,False
3,27,479.5661,379.5843,True
3,27,477.152,383.2168,True
3,27,481.4624,381.0752,False
3,28,541.948,408.624,True
3,28,528.2953,408.7988,True
3,28,537.0631,415.0221,False
3,29,553.2827,423.8983,True
3,29,547.9736,415.9564,False
3,30,566.3198,410.32,False
3,31,573.7379,389.1961,False
3,32,568.2109,364.0759,False
3,33,562.3134,345.3654,False
3,34,555.5765,323.8505,False
3,35,546.2279,301.7545,False
3,36,529.295,273.0754,False
3,37,517.8162,254.6291,False
3,38,501.092,227.9248,False
3,39,492.9633,215.0319,False
3,40,475.685,187.9958,False
3,41,464.5341,171.0443,False
3,42,448.0618,146.155,False
3,43,435.6752,127.746,False
3,44,417.9835,101.5414,False
3,45,404.9805,82.68131,False
3,46,390.194,61.43082,False
3,47,378.4872,45.05778,False
3,48,361.0501,20.77711,False
3,49,349.5076,4.92022,False
3,50,341.5231,-5.947476,False
3,51,321.3007,-32.5169,False
3,52,310.9105,-45.72905,False
3,53,293.3913,-68.15588,False
3,54,283.46,-80.75503,False
3,55,267.4842,-94.67934,False
3,56,246.4316,-111.1993,False
3,57,224.4854,-124.0474,False
3,58,197.8685,-135.1271,False
3,59,178.3042,-143.4181,False
3,60,147.724,-156.6738,False
3,61,129.1426,-164.7808,False
3,62,99.17587,-178.1654,False
3,63,76.4544,-188.6396,False
3,64,57.74953,-197.2794,False
3,65,28.89872,-210.8205,False
3,66,10.68962,-219.3042,False
3,67,-17.13987,-232.361,False
3,68,-36.23676,-241.386,False
3,69,-66.104,-256.0222,False
3,70,-84.12886,-264.9629,False
3,71,-130.8041,-288.7523,False
3,72,-173.5141,-311.3271,False
3,73,-225.2618,-339.4114,False
3,74,-268.0683,-363.335,False
3,75,-319.5475,-392.0005,False
3,76,-352.385,-410.556,False
3,77,-399.7016,-437.8234,True
3,77,-379.6551,-458.3674,True
3,77,-399.1205,-410.8862,False
3,78,-454.7552,-423.7178,False
3,79,-524.7612,-459.5758,True
3,79,-486.8807,-470.1866,False
3,80,-476.1795,-523.5377,False
3,81,-502.8083,-549.8403,True
3,81,-480.49,-569.1805,False
3,82,-464.2662,-619.9118,False
3,83,-462.4786,-679.5915,True
3,83,-492.1699,-656.8763,True
3,83,-438.0501,-650.9534,True
3,83,-418.766,-624.21,False
3,84,-411.8325,-675.2238,True
3,84,-380.1213,-661.8566,True
3,84,-379.5023,-626.7482,False
3,85,-337.1565,-667.6653,True
3,85,-373.0043,-684.3013,True
3,85,-322.7847,-640.6467,False
3,86,-271.271,-622.8879,False
3,87,-228.6195,-600.7881,False
3,88,-163.244,-566.1943,False
3,89,-124.2008,-545.1912,False
3,90,-56.48943,-508.3282,False
3,91,-19.56211,-488.6319,False
3,92,47.75169,-452.9114,False
3,93,91.15812,-429.961,False
3,94,135.2792,-406.4941,False
3,95,201.1423,-371.4139,False
3,96,243.1921,-349.1333,False
3,97,306.7401,-315.1635,False
3,98,351.6248,-290.7802,False
3,99,397.2705,-265.7585,False
3,100,463.9621,-228.6524,False
3,101,504.8112,-205.5338,False
3,102,566.5498,-170.7516,False
3,103,608.3068,-146.5128,False
3,104,651.9402,-120.7317,False
3,105,717.1761,-81.4192,True
3,105,688.8152,-53.78867,False
3,106,701.7021,-4.956505,True
3,106,662.2541,-4.425911,False
3,107,668.8801,50.93237,False
3,108,674.0367,101.1409,False
3,109,679.2034,148.4022,False
3,110,687.3678,218.2655,False
3,111,692.5685,264.6819,False
3,112,732.0079,302.3229,True
3,112,709.7843,328.1841,True
3,112,675.8741,306.0398,False
3,113,675.0876,365.0747,False
3,114,715.6468,393.5169,True
3,114,687.4397,418.365,True
3,114,656.028,400.8743,True
3,114,699.606,354.4703,True
3,114,612.4247,378.1301,False
3,115,634.9835,423.6297,True
3,115,596.7292,411.1107,False
3,116,617.1259,457.1914,True
3,116,639.7783,410.9221,False
3,117,669.8771,456.2178,True
3,117,626.1497,455.3534,True
3,117,684.6934,391.5526,True
3,117,689.8318,429.1341,True
3,117,656.4713,369.0133,False
3,118,651.3239,310.3463,False
3,119,604.2127,273.6185,False
3,120,587.1356,218.3273,False
3,121,554.1929,197.9449,False
3,122,527.0891,150.2053,False
3,123,507.4797,86.20547,False
3,124,492.8376,38.47581,False
3,125,480.59,-1.581524,False
3,126,460.4071,-67.72508,False
3,127,447.6129,-109.547,False
3,128,426.3088,-179.5054,False
3,129,412.955,-223.3087,False
3,130,392.2255,-291.3896,False
3,131,376.7796,-341.8532,False
3,132,357.0217,-405.7433,False
3,133,341.6327,-455.3583,False
3,134,328.5717,-497.497,False
3,135,307.337,-566.0515,False
3,136,275.9237,-589.218,False
3,137,210.2772,-634.2847,False
3,138,171.4578,-661.4313,True
3,138,150.7516,-634.7408,False
3,139,102.7612,-671.8627,True
3,139,99.94986,-636.4293,False
3,140,46.79354,-662.0027,True
3,140,33.77575,-629.157,False
3,141,-16.03288,-626.7786,False
3,142,-67.3764,-624.0747,False
3,143,-135.8882,-620.4645,False
3,144,-185.6758,-617.3938,False
3,145,-253.0609,-613.2864,False
3,146,-304.3871,-610.1938,False
3,147,-339.1741,-637.864,False
3,148,-394.9562,-685.1634,True
3,148,-389.4254,-645.1131,True
3,148,-364.0786,-683.2112,True
3,148,-364.1123,-611.1559,False
3,149,-408.7836,-613.3962,True
3,149,-407.3809,-579.8924,False
3,150,-459.1111,-596.3483,False
3,151,-501.6673,-618.9359,True
3,151,-488.3798,-648.0121,False
3,152,-504.3382,-689.2575,True
3,152,-471.6609,-688.2338,True
3,152,-520.0407,-676.1162,True
3,152,-507.2816,-634.432,True
3,152,-432.4505,-656.7482,False
3,153,-439.0882,-704.6851,True
3,153,-406.6646,-707.5258,True
3,153,-378.666,-649.6237,False
3,154,-327.1924,-634.9203,False
3,155,-257.7238,-614.08,False
3,156,-207.29,-598.9362,False
3,157,-160.3169,-584.8866,False
3,158,-86.80357,-563.002,False
3,159,-34.57821,-547.0567,False
3,160,12.63867,-532.0638,False
3,161,81.65429,-510.0412,False
3,162,130.6474,-494.4193,False
3,163,177.5576,-479.6081,False
3,164,248.0356,-457.4085,False
3,165,301.1127,-440.3034,False
3,166,346.8239,-425.3072,False
3,167,415.2998,-401.9363,False
4,0,192.041,-120.7255,False
4,1,212.4572,-162.7593,False
4,2,262.074,-185.1486,False
4,3,273.3991,-140.8723,False
4,4,289.5938,-97.11929,False
4,5,314.1223,-30.30132,False
4,6,330.0756,16.67564,False
4,7,381.5808,47.35857,False
4,8,419.7189,65.53566,False
4,9,456.9328,125.9712,False
4,10,473.3171,170.6394,False
4,11,496.0092,232.6412,False
4,12,511.9419,275.8091,False
4,13,553.4224,306.8561,False
4,14,580.3388,353.6508,False
4,15,600.0776,416.4175,True
4,15,620.7446,379.0789,False
4,16,647.4768,427.1222,True
4,16,608.7064,416.1245,True
4,16,675.313,401.1626,True
4,16,663.3027,362.3757,True
4,16,642.7056,340.6177,False
4,17,678.6751,346.6513,True
